DATE,CPP
2015-09-01,42
2015-10-01,42
2015-11-01,42.1
2015-12-01,42.3
2016-01-01,42.2
2016-02-01,42.2
2016-03-01,42
2016-04-01,41.8
2016-05-01,41.6
2016-06-01,41.5
2016-07-01,41.6
2016-08-01,41.5
2016-09-01,41.4
2016-10-01,41.4
2016-11-01,41.4
2016-12-01,41.4
2017-01-01,41.2
2017-02-01,41.1
2017-03-01,41
2017-04-01,40.9
2017-05-01,40.9
2017-06-01,40.8
2017-07-01,40.9
2017-08-01,40.7
2017-09-01,40.5
2017-10-01,40.5
2017-11-01,40.5
2017-12-01,40.6
2018-01-01,40.3
2018-02-01,40.2
2018-03-01,40.1
2018-04-01,39.9
2018-05-01,39.7
2018-06-01,39.7
2018-07-01,39.7
2018-08-01,39.7
2018-09-01,39.6
2018-10-01,39.5
2018-11-01,39.7
2018-12-01,39.8
2019-01-01,39.7
2019-02-01,39.6
2019-03-01,39.3
2019-04-01,39.1
2019-05-01,39
2019-06-01,39
2019-07-01,39
2019-08-01,39
2019-09-01,38.9
2019-10-01,38.9
2019-11-01,38.9
2019-12-01,38.9
2020-01-01,38.8
2020-02-01,38.7
2020-03-01,38.7
2020-04-01,39
